Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50,1000,26728,6266,585,48549.59766,0.01205
2,1000,0.2,0.2,50,1000,5948,4747,804,51638.82813,0.01557
3,1000,0.2,0.2,50,1000,10988,5411,708,51057.03906,0.013867
4,1000,0.2,0.2,50,1000,11092,8133,414,50970.72656,0.008122
5,1000,0.2,0.2,50,1000,4963,3965,853,49536.60547,0.01722
6,1000,0.2,0.2,50,1000,27086,5945,645,51248,0.012586
7,1000,0.2,0.2,50,1000,5413,4257,833,50587.36719,0.016467
8,1000,0.2,0.2,50,1000,3211,2561,999,49731.14844,0.020088
9,1000,0.2,0.2,50,1000,3017,2394,999,51082.91797,0.019556
10,1000,0.2,0.2,50,1000,12637,5278,751,49260.3125,0.015246
,,,,,,,,,,0.0150772
